sample-name,FUS NF1 PIM1 HRAS TIAM1 MEN1 MCF2 ALK TSC2 RARA SMAD4 ETS1 RAF1 AFF4 SRC BCL6 MYB APC LMO1 PAX5 KIT ROS1 RET SMAD2 WRN JUN AXL TAL2 NFKB2 FES BCR CSF1R CBFA2T2 SET NPM1 VHL NRAS MDM2 DCC MYC MYH11 BRCA1 RB1 LYL1 MAS1 BCL3 BRCA2 ERG TAL1 PTEN CDKN2A NOTCH1 EPS15 WT1 ERBB2 REL FGF3 LCK IL3 CBFB PBX1 TP53 BCL2 AKT2 PML EGFR LMO2 SKI NF2 DEK ABL1 KRAS RUNX1 ATM TP53 SRC APC FBXW7 EGFR ALK DDR2 CTNNB1 KRAS TERT AURKA HNF1A VHL PTPN11 PTEN ESR1 BRAF GNA11 KIT RHOA RET KDR FGFR1 GNAS FOXL2 SMAD4 PDGFRA SMARCB1 SMO IDH1 ERBB4 ERBB3 ROS1 FGFR2 MET IDH2 NRAS RB1 MLH1 STK11 CDH1 FGFR3 GNAQ HRAS CDK4 MAP2K1 H3F3A AKT1 PIK3R1 NOTCH1 CDKN2A ATM TP53 SRC APC FBXW7 EGFR ALK DDR2 CTNNB1 KRAS TERT AURKA HNF1A VHL PTPN11 PTEN ESR1 BRAF GNA11 KIT RHOA RET KDR FGFR1 GNAS FOXL2 SMAD4 PDGFRA SMARCB1 SMO IDH1 ERBB4 ERBB3 ROS1 FGFR2 MET IDH2 NRAS RB1 MLH1 STK11 CDH1 FGFR3 GNAQ HRAS CDK4 MAP2K1 H3F3A AKT1 PIK3R1 NOTCH1 CDKN2A
AgilentQXT-Twist-1501199,47.283306305 46.002884877 46.4468651724 50.0335333925 46.5472351511 47.2487576862 45.9862620734 47.3038174002 48.3571374433 48.2209867804 46.8619311634 46.7773535202 47.2786311554 45.3081911805 47.8349846776 47.4127007293 46.6449319224 44.2731526024 48.3300744057 48.1844945756 46.5555224598 46.5279325878 48.4494983929 45.6464454347 45.5676309683 43.9021834336 48.4832457652 45.2645701983 48.5759481643 48.1027527129 48.3195654764 48.5197810273 47.0162632226 46.6029508126 46.9583967711 46.9207194205 48.8527649491 45.0378652977 46.6295824024 45.2989446046 47.6847303961 44.545786916 45.9384715169 47.6536851261 45.339332995 48.7661784443 43.4986836442 47.1964431864 47.2034774442 46.608338763 45.2693629957 47.8012639795 46.7925410101 47.3417293564 48.2248033456 45.4262141165 47.6195872484 46.3101919232 46.8752067193 47.469131642 46.5735289424 47.4725297069 46.4022300879 47.7869752193 46.4492416035 46.9964036879 48.0729278115 46.759764622 48.2271344389 45.1799235351 46.6798234736 46.8188055042 47.2644390865 45.8924570194 47.4725297069 47.8349846776 44.2731526024 47.1994431689 46.9964036879 47.3038174002 47.0710948614 46.1616253919 46.8188055042 46.9878170064 45.2485972999 46.0425381915 46.9207194205 46.6728119464 46.608338763 46.7185365213 46.2917143104 48.2720177126 46.5555224598 45.9532607645 48.4494983929 47.0871462963 48.0336388 46.5064862955 46.1805964556 46.8619311634 46.4363147072 48.7173474948 47.8172198056 46.1170427784 46.8691556992 47.6281125895 46.5279325878 46.7004121523 45.3923395033 48.7526675249 48.8527649491 45.9384715169 46.1151703192 47.3749484917 47.0234625722 49.1324976761 47.0157540814 50.0335333925 47.9389669616 48.1319719203 46.6840420411 48.9333763815 45.9317331405 47.8012639795 45.2693629957 45.8924570194 47.4725297069 47.8349846776 44.2731526024 47.1994431689 46.9964036879 47.3038174002 47.0710948614 46.1616253919 46.8188055042 46.9878170064 45.2485972999 46.0425381915 46.9207194205 46.6728119464 46.608338763 46.7185365213 46.2917143104 48.2720177126 46.5555224598 45.9532607645 48.4494983929 47.0871462963 48.0336388 46.5064862955 46.1805964556 46.8619311634 46.4363147072 48.7173474948 47.8172198056 46.1170427784 46.8691556992 47.6281125895 46.5279325878 46.7004121523 45.3923395033 48.7526675249 48.8527649491 45.9384715169 46.1151703192 47.3749484917 47.0234625722 49.1324976761 47.0157540814 50.0335333925 47.9389669616 48.1319719203 46.6840420411 48.9333763815 45.9317331405 47.8012639795 45.2693629957
AgilentQXT-Twist-GIAB,46.4187760684 45.2333012551 45.4745837627 48.528853519 45.3038779491 46.0275014782 45.0632419735 46.2082128108 48.0660532407 47.2251785585 45.5082576313 46.4463975063 46.3692843442 44.8287925545 47.3117736902 46.0924252002 45.9988839388 43.7683754016 47.7924933362 46.9619349209 46.2380114766 45.4333184121 47.4134015546 44.4823402159 44.9779642494 43.47575752 48.154299785 44.4566564297 47.5161128637 46.9964682626 47.213139118 47.4834183358 45.6130016281 45.5351952141 46.6605581239 46.596530476 47.487780471 44.3986597515 45.9250703593 43.8729518247 46.6203634836 43.8189098455 45.2091930371 45.968158949 44.9201580983 48.965829134 42.6611196186 46.4396856234 46.0582605067 45.3212409031 44.9648470432 47.1084205041 45.886170015 46.6775549784 47.4879468869 44.5181732505 47.0675529423 45.5382067891 46.8301302256 48.124423041 46.5298951925 47.0716618383 45.3643415316 46.0328277433 45.1761959367 46.7084957899 47.3336803052 46.8639039861 46.7001661247 44.5899924061 45.3776012748 47.1394007915 46.5398489954 45.3138722336 47.0716618383 47.3117736902 43.7683754016 45.5439668482 46.70849579 46.2082128108 46.0421960923 45.5345339505 47.1394007915 46.9117685231 45.1629792912 45.3510509904 46.596530476 46.1670338693 45.3212409031 46.3681794155 45.9046516445 46.8332120574 46.2380114766 46.5871699725 47.4134015546 45.8447026123 47.0784526691 45.338561419 46.1910585663 45.5082576313 46.1999290475 47.7567528811 46.9178576597 46.5586645987 45.7143880528 46.6942868249 45.4333184121 46.5180838362 44.7091359151 47.9960271048 47.487780471 45.2091930371 46.4715014779 47.1278455514 46.5958696096 47.3278251927 47.0508231265 48.528853519 46.3011447588 46.6586590581 45.186910159 47.0626858675 45.127206748 47.1084205041 44.9648470432 45.3138722336 47.0716618383 47.3117736902 43.7683754016 45.5439668482 46.70849579 46.2082128108 46.0421960923 45.5345339505 47.1394007915 46.9117685231 45.1629792912 45.3510509904 46.596530476 46.1670338693 45.3212409031 46.3681794155 45.9046516445 46.8332120574 46.2380114766 46.5871699725 47.4134015546 45.8447026123 47.0784526691 45.338561419 46.1910585663 45.5082576313 46.1999290475 47.7567528811 46.9178576597 46.5586645987 45.7143880528 46.6942868249 45.4333184121 46.5180838362 44.7091359151 47.9960271048 47.487780471 45.2091930371 46.4715014779 47.1278455514 46.5958696096 47.3278251927 47.0508231265 48.528853519 46.3011447588 46.6586590581 45.186910159 47.0626858675 45.127206748 47.1084205041 44.9648470432
KAPACovaris-Roche-0720ME25,40.703739129 40.0809109623 39.7454997251 40.1989316135 39.933963682 39.5383516541 41.1078056906 39.9139182387 40.3494833516 40.0302520703 40.2103857912 40.1501421858 41.6178268849 39.9331293517 40.1569602318 39.7383186295 40.2375118364 39.1505654065 40.0404583057 40.5384493133 40.352274517 40.0423006957 40.4555650767 40.1679145459 40.6078995849 38.8376371392 40.2806630367 39.8950465893 39.8653018485 40.3632449465 40.7316679204 40.3991697932 40.1616438825 40.3553115121 39.6216800018 39.6705422564 40.4856156537 40.2592017087 40.5025744308 39.4179719688 40.326024211 39.6003355056 40.7356688421 39.7487438518 38.8231371415 40.1576956684 39.2997714969 40.1915196128 38.9256776807 40.3295370968 39.2561382142 40.0298818002 40.7318160014 40.6190014736 40.0993382714 39.7261929844 39.6609657256 39.5311953795 40.2613344608 41.4026693161 40.3715105877 40.8661222833 39.6508382517 39.7753947585 39.0267974 40.1272497737 39.6854803166 39.4957777722 41.1545110483 40.4467424587 39.5807735874 40.6061713588 40.0252791524 40.4846535698 40.8661222833 40.1569602318 39.1505654065 39.9049684643 40.1272497737 39.9139182387 40.0656384676 39.7222878866 40.6061713588 39.7405316041 40.4637240191 39.8958428163 39.6705422564 40.2785639682 40.3295370968 39.8617221399 40.4768509621 40.0590774727 40.352274517 39.378821156 40.4555650767 40.5236086184 40.3050943011 39.6236121443 38.9820206323 40.2103857912 40.2439163389 40.8605866174 39.9247931461 40.1544827781 40.6282248173 40.0131390433 40.0423006957 40.9534225771 39.7521263515 40.6883682937 40.4856156537 40.7356688421 41.070003093 39.8290815292 40.4327568804 39.7619070972 39.9480292388 40.1989316135 40.3334573595 40.8101436825 39.0048704967 40.2463332901 40.0622296007 40.0298818002 39.2561382142 40.4846535698 40.8661222833 40.1569602318 39.1505654065 39.9049684643 40.1272497737 39.9139182387 40.0656384676 39.7222878866 40.6061713588 39.7405316041 40.4637240191 39.8958428163 39.6705422564 40.2785639682 40.3295370968 39.8617221399 40.4768509621 40.0590774727 40.352274517 39.378821156 40.4555650767 40.5236086184 40.3050943011 39.6236121443 38.9820206323 40.2103857912 40.2439163389 40.8605866174 39.9247931461 40.1544827781 40.6282248173 40.0131390433 40.0423006957 40.9534225771 39.7521263515 40.6883682937 40.4856156537 40.7356688421 41.070003093 39.8290815292 40.4327568804 39.7619070972 39.9480292388 40.1989316135 40.3334573595 40.8101436825 39.0048704967 40.2463332901 40.0622296007 40.0298818002 39.2561382142
KAPACovaris-Roche-110465,41.2692298035 41.1181091262 40.3643430475 41.5031768705 40.7839716798 40.5135136197 41.9892071495 40.8370241353 41.5346734477 41.6281195258 40.9396544432 41.2080549327 41.621213798 40.8278445789 41.6278026667 40.8156559097 41.1582797968 40.1750743912 41.8997066163 41.4454411322 41.3262431704 40.8839330623 41.0531775679 41.4353805146 41.7255102337 40.0600944514 41.3440396845 40.5656247816 41.0630262447 41.0107532233 41.4378082415 41.0892011271 41.3611070022 41.1150395016 40.8277473607 40.8464050664 41.982741217 41.4860596821 41.3169962977 40.1502693846 41.0976584905 40.5505901689 41.9503741719 40.7851347226 39.976753846 41.0726556663 40.0274200835 41.1248176437 40.8288202999 41.0559263814 40.3649308315 40.9474518289 41.8912921274 42.0334052929 41.5504197425 40.4552007388 40.5177884555 40.4864267406 41.7918152787 42.3732437924 41.4149681182 41.1636360149 40.4602175114 41.6642612773 40.1568403048 41.3080217382 40.386259597 40.6117689794 41.7236515598 42.1517653946 40.460373926 41.419885887 40.7243697564 41.5451091762 41.1636360149 41.6278026667 40.1750743912 40.9468753338 41.3080217382 40.8370241353 41.2019628012 40.8451568336 41.419885887 40.8756537956 41.3170276031 40.0762700139 40.8464050664 41.0537337502 41.0559263814 40.9011672093 41.3341535503 41.6361936207 41.3262431704 40.5285072904 41.0531775679 41.4671172848 41.9330747737 40.291250074 39.4874211097 40.9396544432 41.5265116235 41.7787781962 40.8000046306 40.8645627634 41.3731085448 41.0621735158 40.8839330623 41.5447127434 40.7077750171 41.40618455 41.982741217 41.9503741719 41.6112896509 40.9301026053 41.1753748335 40.839719729 41.0714708278 41.5031768705 41.9671375215 42.3701970871 39.752834513 41.0846675936 41.7072460282 40.9474518289 40.3649308315 41.5451091762 41.1636360149 41.6278026667 40.1750743912 40.9468753338 41.3080217382 40.8370241353 41.2019628012 40.8451568336 41.419885887 40.8756537956 41.3170276031 40.0762700139 40.8464050664 41.0537337502 41.0559263814 40.9011672093 41.3341535503 41.6361936207 41.3262431704 40.5285072904 41.0531775679 41.4671172848 41.9330747737 40.291250074 39.4874211097 40.9396544432 41.5265116235 41.7787781962 40.8000046306 40.8645627634 41.3731085448 41.0621735158 40.8839330623 41.5447127434 40.7077750171 41.40618455 41.982741217 41.9503741719 41.6112896509 40.9301026053 41.1753748335 40.839719729 41.0714708278 41.5031768705 41.9671375215 42.3701970871 39.752834513 41.0846675936 41.7072460282 40.9474518289 40.3649308315
KAPACovaris-Roche-1501199,40.376457815 40.0506398585 39.5159451064 40.1600297665 39.7124728393 39.3047277552 40.4948674538 39.7467052379 40.2991992145 40.0984713804 39.7363965342 40.3126718419 40.3983821784 39.6857038058 40.0759647871 39.4550133707 39.9288297419 38.9385635882 39.7962330675 40.126300206 39.7797831722 39.942347014 39.903394065 40.1726289818 40.2848163922 38.8865234453 40.0752342239 38.8542315583 39.5532451643 39.9363855413 39.9522659622 39.9181235016 40.1690491559 39.585307743 39.5421910595 40.054124484 40.3930555322 39.9149106018 40.0278958819 39.0754863543 40.1091521923 39.3528232525 40.5449238167 39.2887037152 38.8352549133 39.4297105255 39.0920720506 40.0551266694 39.004871411 39.9634543204 39.273382105 39.6494785745 40.7246817706 39.9109471897 39.8834323612 39.5758880206 39.2926296546 39.7248135433 40.0082997758 41.2784213563 40.2849462992 39.7262953076 39.3294353006 39.7526866555 39.214962646 40.0799539758 39.1601393994 39.8520238652 40.9608311316 40.5072127579 39.3489454062 40.5282546455 39.7567219833 40.2004657873 39.7262953076 40.0759647871 38.9385635882 39.7884638241 40.0799539758 39.7467052379 39.8606602902 39.8823423812 40.5282546455 39.6077431324 39.8756358838 39.2119714187 40.054124484 40.2120658028 39.9634543204 39.6489623682 40.6946200909 40.0262613129 39.7797831722 39.6828551962 39.903394065 40.3594187487 39.6326031036 39.3456291894 38.4768056499 39.7363965342 40.0669941472 40.6391242551 39.383578499 40.1631182547 40.131931828 39.8427324812 39.942347014 40.460475037 39.7756433549 40.8374010345 40.3930555322 40.5449238167 40.5272453475 39.7277419265 39.945901461 39.6780307916 40.077803822 40.1600297665 40.168108701 40.4592508924 38.4831883295 40.0514881023 39.758981615 39.6494785745 39.273382105 40.2004657873 39.7262953076 40.0759647871 38.9385635882 39.7884638241 40.0799539758 39.7467052379 39.8606602902 39.8823423812 40.5282546455 39.6077431324 39.8756358838 39.2119714187 40.054124484 40.2120658028 39.9634543204 39.6489623682 40.6946200909 40.0262613129 39.7797831722 39.6828551962 39.903394065 40.3594187487 39.6326031036 39.3456291894 38.4768056499 39.7363965342 40.0669941472 40.6391242551 39.383578499 40.1631182547 40.131931828 39.8427324812 39.942347014 40.460475037 39.7756433549 40.8374010345 40.3930555322 40.5449238167 40.5272453475 39.7277419265 39.945901461 39.6780307916 40.077803822 40.1600297665 40.168108701 40.4592508924 38.4831883295 40.0514881023 39.758981615 39.6494785745 39.273382105
KAPACovaris-Roche-GIAB,40.9066532933 40.9082151138 40.2781664408 40.8209720941 40.6789955066 40.0561466481 41.3424305291 40.7592696711 40.8471431304 40.207758673 40.6757284428 40.4547923642 41.1655144027 40.5535875676 40.8042937562 40.2625738261 40.571562606 39.9160412195 41.6344301347 40.9842609656 41.3262296578 40.7489195715 40.5205358724 40.4579173539 41.6668053496 40.030694672 40.7692871454 40.4351180881 40.1639321417 40.3836729664 40.6544737494 40.6687374189 40.4891862999 40.4566296728 41.3288808914 40.1255706317 41.5150802525 41.0064662212 40.8282167331 39.5572397993 40.6785862912 40.3847974995 41.6258004442 40.2707143263 39.5212339005 40.7583345922 39.8749572909 40.5658687422 39.6202393967 40.8898218479 39.3076045787 40.1876771699 41.1798279738 40.5135525112 40.7022564722 40.0281698682 39.9396357986 40.3408316887 39.9624253083 41.555032107 41.3318242253 40.9447646287 40.3127258789 41.2232058035 39.7894316438 40.8273805162 40.2416320412 40.214592217 41.3409387338 41.5863121342 40.0528546922 41.1554140956 40.2536522462 41.1515956977 40.9447646287 40.8042937562 39.9160412195 40.6794711965 40.8273805162 40.7592696711 40.4499579991 40.437651227 41.1554140956 40.5640178366 40.2747207345 39.6424050693 40.1255706317 40.5825523524 40.8898218479 40.3015726444 41.3018335131 40.6276075459 41.3262296578 40.2391857045 40.5205358724 41.1203263513 40.5696618094 40.102786433 39.4603753695 40.6757284428 40.4483159124 40.9938836206 40.0787584974 41.5242518264 41.0531158501 40.8370698496 40.7489195715 41.0031396519 40.2394505918 40.9773407483 41.5150802525 41.6258004442 41.1118198551 40.9154217115 40.8537931724 40.4051642958 40.5094691587 40.8209720941 40.4214770487 40.8687090711 38.9600418343 40.7990551938 41.0574725079 40.1876771699 39.3076045787 41.1515956977 40.9447646287 40.8042937562 39.9160412195 40.6794711965 40.8273805162 40.7592696711 40.4499579991 40.437651227 41.1554140956 40.5640178366 40.2747207345 39.6424050693 40.1255706317 40.5825523524 40.8898218479 40.3015726444 41.3018335131 40.6276075459 41.3262296578 40.2391857045 40.5205358724 41.1203263513 40.5696618094 40.102786433 39.4603753695 40.6757284428 40.4483159124 40.9938836206 40.0787584974 41.5242518264 41.0531158501 40.8370698496 40.7489195715 41.0031396519 40.2394505918 40.9773407483 41.5150802525 41.6258004442 41.1118198551 40.9154217115 40.8537931724 40.4051642958 40.5094691587 40.8209720941 40.4214770487 40.8687090711 38.9600418343 40.7990551938 41.0574725079 40.1876771699 39.3076045787
KAPAEnzyme-IDT-0720ME25,45.9421812569 45.5979924071 44.660582588 47.4313895482 46.4821777524 45.654871698 46.3555733449 46.1516029258 47.1966070907 45.8533213441 46.8163036678 46.3330875512 47.6277620187 45.9520130266 47.6067098742 45.499907913 46.4413396232 44.3428757152 47.4364357998 47.4137046648 46.6217428967 45.7237089454 46.5308604682 45.6899401328 46.0430583618 44.2179206308 47.4479462887 45.2865329743 45.4794321076 46.4874892915 47.6353586277 46.6808734128 46.0959281602 45.1227424022 46.623447983 45.2858634791 46.2399252105 45.0020188116 46.1524590125 44.9214133776 46.1208816519 45.3166778761 46.4940775705 44.9758627517 44.2543359866 47.2734312908 43.7484010733 45.9739944114 44.5478722157 45.9929610437 44.5992197851 45.8524538996 46.2360406319 46.7853982842 46.446132335 44.4395301097 45.1287115394 45.9335929989 46.3826622971 45.4520793162 45.6040865535 46.6999399257 44.2491259894 46.1581861623 44.4910432958 46.984751009 46.8841079051 45.3880090245 46.8472605922 45.2205836397 45.3562564776 45.5192904468 46.0466689799 45.8289863584 46.6999399257 47.6067098742 44.3428757152 45.2735953132 46.984751009 46.1516029258 46.4423190852 45.6720426616 45.5192904468 46.2998723094 45.870392699 44.9480623466 45.2858634791 46.5163575599 45.9929610437 45.7905409333 45.9534109623 46.748547063 46.6217428967 45.7399510978 46.5308604682 46.1700968095 46.4900234215 44.5754865338 44.3260751055 46.8163036678 46.6198713709 46.320549001 45.588166891 45.4647666309 46.9538861728 46.2867704809 45.7237089454 46.1343306197 45.3887753865 47.8938021073 46.2399252105 46.4940775705 46.6579698183 45.6919439508 46.2252325616 46.6867353453 47.0646215074 47.4313895482 47.1736039651 48.2063223389 45.549708309 46.8560747072 45.4958507086 45.8524538996 44.5992197851 45.8289863584 46.6999399257 47.6067098742 44.3428757152 45.2735953132 46.984751009 46.1516029258 46.4423190852 45.6720426616 45.5192904468 46.2998723094 45.870392699 44.9480623466 45.2858634791 46.5163575599 45.9929610437 45.7905409333 45.9534109623 46.748547063 46.6217428967 45.7399510978 46.5308604682 46.1700968095 46.4900234215 44.5754865338 44.3260751055 46.8163036678 46.6198713709 46.320549001 45.588166891 45.4647666309 46.9538861728 46.2867704809 45.7237089454 46.1343306197 45.3887753865 47.8938021073 46.2399252105 46.4940775705 46.6579698183 45.6919439508 46.2252325616 46.6867353453 47.0646215074 47.4313895482 47.1736039651 48.2063223389 45.549708309 46.8560747072 45.4958507086 45.8524538996 44.5992197851
KAPAEnzyme-IDT-110465,46.1989925193 46.2322491558 44.5715968744 46.5398848687 46.5132339265 46.6857248449 47.0480229299 46.2866677246 47.2720551539 46.7427749645 46.1556574173 46.5806960348 47.6099730852 45.7966139147 46.680370899 46.0754818241 47.4381266542 44.6067367432 47.7585360049 48.0171166314 46.3591279947 46.3480124222 46.996945798 46.01647037 46.1310826784 43.822537282 48.2656361237 45.9099698438 45.9352709167 46.8594575137 48.1810556761 46.8301169162 45.8010016144 46.5177926433 45.6823967534 45.4581957125 46.6317534654 45.3639433938 46.1012423886 44.8226546179 47.0722370778 45.6179730911 46.8176588414 45.9094180128 45.0071075032 48.6140653766 44.1807886965 46.4738957082 44.9463133006 47.5777132345 44.744525286 46.0582364202 46.7250086234 46.7601877199 46.9953499709 44.0881604078 46.141054486 46.1718188056 46.0482679822 47.518605919 46.3378620829 47.4883590457 43.9872241596 46.7130210511 44.2432801396 46.6137314566 48.5387634643 45.8854331036 47.6308878237 45.2300155144 45.4890685908 45.5962318331 45.3165762949 46.2261342609 47.4883590457 46.680370899 44.6067367432 46.700703448 46.6137314566 46.2866677246 46.6582118528 46.5368658803 45.5962318331 46.4495458894 47.5861692279 44.7126299326 45.4581957125 46.0310231047 47.5777132345 46.3086993649 45.8870515475 46.6517404162 46.3591279947 46.3492952066 46.996945798 46.5487059376 47.2268947006 45.2270852433 44.3817026639 46.1556574173 46.4011092787 46.2347944187 45.7574195245 47.536783601 46.7395063719 46.7187074741 46.3480124222 46.5274738362 45.7257279774 46.978793575 46.6317534654 46.8176588414 47.0205359674 46.1204066258 46.2679889684 45.9994789239 46.1455028555 46.5398848687 46.2533593275 47.5674274085 46.2215303548 46.6670796926 46.6569338903 46.0582364202 44.744525286 46.2261342609 47.4883590457 46.680370899 44.6067367432 46.700703448 46.6137314566 46.2866677246 46.6582118528 46.5368658803 45.5962318331 46.4495458894 47.5861692279 44.7126299326 45.4581957125 46.0310231047 47.5777132345 46.3086993649 45.8870515475 46.6517404162 46.3591279947 46.3492952066 46.996945798 46.5487059376 47.2268947006 45.2270852433 44.3817026639 46.1556574173 46.4011092787 46.2347944187 45.7574195245 47.536783601 46.7395063719 46.7187074741 46.3480124222 46.5274738362 45.7257279774 46.978793575 46.6317534654 46.8176588414 47.0205359674 46.1204066258 46.2679889684 45.9994789239 46.1455028555 46.5398848687 46.2533593275 47.5674274085 46.2215303548 46.6670796926 46.6569338903 46.0582364202 44.744525286
KAPAEnzyme-IDT-1501199,45.0181333541 45.1473374003 43.9982351755 45.3570649742 45.9443381287 43.9103218791 45.934820652 45.2917867173 46.2436293132 45.687712553 45.1413544676 46.0513190721 46.6892915438 44.9845179917 46.0342727489 45.4501235524 46.1331931443 43.9152042201 44.384812729 46.7307806623 45.8864711448 45.3660103854 45.7589625503 45.2928786467 46.1848889788 42.9444823141 46.7063359852 44.821681851 45.4722857145 45.1765158684 46.7053620542 45.9420145155 45.5165179385 45.1917571248 46.6063014389 44.8816499277 46.7659647658 44.9445296149 45.7961713497 44.8875774884 46.1725662614 44.6836302465 45.8236150418 44.8563327768 43.6868416259 47.3754935898 43.4837001884 45.5141233002 43.7865649261 45.4978604197 43.9328773427 45.13723696 46.073157878 45.9523654408 45.6922626326 43.9631123153 44.0961440249 44.9272342673 45.7249218714 46.5434060516 45.307376353 46.6076586668 41.4438982028 45.8381477726 44.1487182535 45.7267182668 45.3579073033 45.0133119592 46.7543916953 46.2811226599 44.6780994134 45.2104363521 45.1771893884 45.3640337735 46.6076586668 46.0342727489 43.9152042201 44.3665610366 45.7267182668 45.2917867173 46.1708721507 45.5526801439 45.2104363522 45.5824253418 45.9400360645 44.1267453237 44.8816499277 46.6012858941 45.4978604197 45.787846164 45.5987961891 45.9552692434 45.8864711448 45.5215263671 45.7589625503 45.3272479499 46.0089877747 43.7942883735 43.6979056305 45.1413544676 46.0924550398 45.6226224119 44.2189231069 45.5596975091 45.8036244429 45.7997506034 45.3660103854 45.6375600226 44.7373859259 46.2344185205 46.7659647658 45.8236150418 46.1077965837 45.2145761115 45.7811061866 45.6426021308 45.6540321983 45.3570649742 46.7923947383 46.641860918 46.00548908 46.0739529802 45.796951771 45.13723696 43.9328773427 45.3640337735 46.6076586668 46.0342727489 43.9152042201 44.3665610366 45.7267182668 45.2917867173 46.1708721507 45.5526801439 45.2104363522 45.5824253418 45.9400360645 44.1267453237 44.8816499277 46.6012858941 45.4978604197 45.787846164 45.5987961891 45.9552692434 45.8864711448 45.5215263671 45.7589625503 45.3272479499 46.0089877747 43.7942883735 43.6979056305 45.1413544676 46.0924550398 45.6226224119 44.2189231069 45.5596975091 45.8036244429 45.7997506034 45.3660103854 45.6375600226 44.7373859259 46.2344185205 46.7659647658 45.8236150418 46.1077965837 45.2145761115 45.7811061866 45.6426021308 45.6540321983 45.3570649742 46.7923947383 46.641860918 46.00548908 46.0739529802 45.796951771 45.13723696 43.9328773427
KAPAEnzyme-IDT-GIAB,45.1481126385 45.1412074654 44.3553708713 46.5097167408 45.5594819094 44.4971916719 46.4571646977 45.5313405126 46.2073614731 45.4110602499 45.5959120841 46.2595496741 46.4832892335 45.3593370996 46.4526095226 45.4028204973 45.6182782705 43.8580465769 45.6029206981 46.2535073387 45.8915370146 45.6845847617 46.1376701885 45.5854444581 45.6519643582 42.6765130951 47.2857163374 43.613034424 45.6074240475 45.6981106674 47.071164906 46.0265182254 46.3039798908 46.2284035431 45.9962646561 44.469828525 45.3906512033 45.273504978 45.8460921724 44.2463181608 46.2305008511 44.6738819324 45.9021155767 45.6927710022 44.0734718702 47.5274114828 43.4054876071 45.6155873957 44.4639865532 45.6338607143 43.7209459431 45.2414373629 45.66492682 46.3163189202 46.0106064766 43.8607379241 45.2837085629 45.6861926069 45.8515605647 45.9573786351 45.6333707113 45.9765522118 43.4616294614 46.0052418811 43.8105960364 46.5040115203 47.3374331436 45.1242846589 46.3873941386 45.3123962273 44.678977657 44.8024885919 44.5488215775 45.5084974892 45.9765522118 46.4526095226 43.8580465769 44.515513933 46.5040115203 45.5313405126 46.4876028772 46.1578756247 44.8024885919 45.5890706913 45.4476857643 44.1293125009 44.469828525 45.840229015 45.6338607143 46.8183817684 45.2111517172 45.4378499597 45.8915370146 45.9410005473 46.1376701885 45.8343915122 46.5009666184 44.4267442878 43.7741896823 45.5959120841 46.2672186363 46.6180114001 45.3990161593 45.0538088223 45.4942510246 45.8041024067 45.6845847617 46.4580365519 44.5884574858 46.8987987571 45.3906512033 45.9021155767 46.1314493185 45.3302675928 45.8515466323 45.5152363144 45.4104390048 46.5097167408 45.8676775318 47.2145183096 44.4037509351 45.4633839111 45.0638703694 45.2414373629 43.7209459431 45.5084974892 45.9765522118 46.4526095226 43.8580465769 44.515513933 46.5040115203 45.5313405126 46.4876028772 46.1578756247 44.8024885919 45.5890706913 45.4476857643 44.1293125009 44.469828525 45.840229015 45.6338607143 46.8183817684 45.2111517172 45.4378499597 45.8915370146 45.9410005473 46.1376701885 45.8343915122 46.5009666184 44.4267442878 43.7741896823 45.5959120841 46.2672186363 46.6180114001 45.3990161593 45.0538088223 45.4942510246 45.8041024067 45.6845847617 46.4580365519 44.5884574858 46.8987987571 45.3906512033 45.9021155767 46.1314493185 45.3302675928 45.8515466323 45.5152363144 45.4104390048 46.5097167408 45.8676775318 47.2145183096 44.4037509351 45.4633839111 45.0638703694 45.2414373629 43.7209459431
