sample,gene,quality
NexteraCap-Roche-1501199_S57_L002,PRKAG2,43.81425188338232
NexteraCap-Roche-1501199_S57_L002,CACNA1S,43.77033178054289
NexteraCap-Roche-1501199_S57_L002,PMS2,44.17519483786916
NexteraCap-Roche-1501199_S57_L002,TGFBR1,45.091995103617116
NexteraCap-Roche-1501199_S57_L002,BMPR1A,47.131828836258954
NexteraCap-Roche-1501199_S57_L002,TP53,42.25434006327886
NexteraCap-Roche-1501199_S57_L002,WT1,47.34817614447365
NexteraCap-Roche-1501199_S57_L002,LMNA,44.4182074127233
NexteraCap-Roche-1501199_S57_L002,MYBPC3,43.012553003435784
NexteraCap-Roche-1501199_S57_L002,BRCA2,44.75820874451175
NexteraCap-Roche-1501199_S57_L002,COL3A1,45.836366829179084
NexteraCap-Roche-1501199_S57_L002,TGFBR2,43.3072408706796
NexteraCap-Roche-1501199_S57_L002,RET,43.33643766757706
NexteraCap-Roche-1501199_S57_L002,SDHB,44.10702977761025
NexteraCap-Roche-1501199_S57_L002,MYH7,43.43415091677022
NexteraCap-Roche-1501199_S57_L002,DSP,43.64184591284846
NexteraCap-Roche-1501199_S57_L002,LDLR,42.875330297846794
NexteraCap-Roche-1501199_S57_L002,TSC2,45.0003595729154
NexteraCap-Roche-1501199_S57_L002,VHL,47.20517239237896
NexteraCap-Roche-1501199_S57_L002,OTC,42.32837607156878
NexteraCap-Roche-1501199_S57_L002,APOB,42.20935038662765
NexteraCap-Roche-1501199_S57_L002,MEN1,44.78778905736229
NexteraCap-Roche-1501199_S57_L002,SDHAF2,48.3994575045208
NexteraCap-Roche-1501199_S57_L002,RYR1,43.714312032875156
NexteraCap-Roche-1501199_S57_L002,TPM1,48.46680393880197
NexteraCap-Roche-1501199_S57_L002,SDHC,45.101979805836436
NexteraCap-Roche-1501199_S57_L002,STK11,47.06479549150329
NexteraCap-Roche-1501199_S57_L002,MLH1,42.76918982405805
NexteraCap-Roche-1501199_S57_L002,MSH2,42.445018433179726
NexteraCap-Roche-1501199_S57_L002,APC,41.4573044281199
NexteraCap-Roche-1501199_S57_L002,KCNH2,45.0969399707203
NexteraCap-Roche-1501199_S57_L002,PCSK9,45.60248149917961
NexteraCap-Roche-1501199_S57_L002,GLA,44.47673332620849
NexteraCap-IDT-1501199_S53_L002,SMAD3,42.13381180456641
NexteraCap-IDT-1501199_S53_L002,DSG2,41.62967083395465
NexteraCap-IDT-1501199_S53_L002,SMAD4,42.546066966232175
NexteraCap-IDT-1501199_S53_L002,KCNQ1,43.631769816497005
NexteraCap-IDT-1501199_S53_L002,ACTC1,42.40103638773565
NexteraCap-IDT-1501199_S53_L002,SCN5A,41.33159364985676
NexteraCap-IDT-1501199_S53_L002,MYL2,44.83652682582562
NexteraCap-IDT-1501199_S53_L002,DSC2,42.334052870676736
NexteraCap-IDT-1501199_S53_L002,PKP2,43.05941047097873
NexteraCap-IDT-1501199_S53_L002,PTEN,44.58879215960029
NexteraCap-IDT-1501199_S53_L002,MUTYH,41.77380458316099
NexteraCap-IDT-1501199_S53_L002,RYR2,42.91477148522818
NexteraCap-IDT-1501199_S53_L002,ATP7B,41.87401434252512
NexteraCap-IDT-1501199_S53_L002,ACTA2,41.39827649604841
NexteraCap-IDT-1501199_S53_L002,FBN1,42.27450023341205
NexteraCap-IDT-1501199_S53_L002,NF2,43.27844236040539
NexteraCap-IDT-1501199_S53_L002,TNNT2,43.56900376431685
NexteraCap-IDT-1501199_S53_L002,MSH6,42.15373339129607
NexteraCap-IDT-1501199_S53_L002,TMEM43,43.15043700919108
NexteraCap-IDT-1501199_S53_L002,MYL3,42.006307206234105
NexteraCap-IDT-1501199_S53_L002,RB1,43.76807205647888
NexteraCap-IDT-1501199_S53_L002,TSC1,42.59712850859842
NexteraCap-IDT-1501199_S53_L002,MYH11,42.23920726911666
NexteraCap-IDT-1501199_S53_L002,BRCA1,41.71434598920109
NexteraCap-IDT-1501199_S53_L002,TNNI3,42.971248608801815
NexteraCap-IDT-1501199_S53_L002,PRKAG2,44.061562090245225
NexteraCap-IDT-1501199_S53_L002,CACNA1S,42.561378078159905
NexteraCap-IDT-1501199_S53_L002,PMS2,42.295479999161465
NexteraCap-IDT-1501199_S53_L002,TGFBR1,41.909882096530275
NexteraCap-IDT-1501199_S53_L002,BMPR1A,42.46038617313884
NexteraCap-IDT-1501199_S53_L002,TP53,42.451703187512955
NexteraCap-IDT-1501199_S53_L002,WT1,43.03639430308218
NexteraCap-IDT-1501199_S53_L002,LMNA,42.46197982208547
NexteraCap-IDT-1501199_S53_L002,MYBPC3,42.067783235690946
NexteraCap-IDT-1501199_S53_L002,BRCA2,41.891433452608275
NexteraCap-IDT-1501199_S53_L002,COL3A1,43.12241783394141
NexteraCap-IDT-1501199_S53_L002,TGFBR2,43.269516540789695
NexteraCap-IDT-1501199_S53_L002,RET,43.140899624500676
NexteraCap-IDT-1501199_S53_L002,SDHB,42.95197342944394
NexteraCap-IDT-1501199_S53_L002,MYH7,41.68107008648602
NexteraCap-IDT-1501199_S53_L002,DSP,42.04291572712562
NexteraCap-IDT-1501199_S53_L002,LDLR,42.428623129998314
NexteraCap-IDT-1501199_S53_L002,TSC2,42.746377071250805
NexteraCap-IDT-1501199_S53_L002,VHL,47.275600776183566
NexteraCap-IDT-1501199_S53_L002,OTC,43.04717761884063
NexteraCap-IDT-1501199_S53_L002,APOB,41.29829721702696
NexteraCap-IDT-1501199_S53_L002,MEN1,42.980571973623874
NexteraCap-IDT-1501199_S53_L002,SDHAF2,41.599258146803415
NexteraCap-IDT-1501199_S53_L002,RYR1,42.736614655268355
NexteraCap-IDT-1501199_S53_L002,TPM1,45.76862280756709
NexteraCap-IDT-1501199_S53_L002,SDHC,43.11925723985843
NexteraCap-IDT-1501199_S53_L002,STK11,45.08752913581161
NexteraCap-IDT-1501199_S53_L002,MLH1,42.917829656803235
NexteraCap-IDT-1501199_S53_L002,MSH2,42.210587524085675
NexteraCap-IDT-1501199_S53_L002,APC,41.37864203918863
NexteraCap-IDT-1501199_S53_L002,KCNH2,42.70307805840568
NexteraCap-IDT-1501199_S53_L002,PCSK9,43.804443796700255
NexteraCap-IDT-1501199_S53_L002,GLA,42.721718544542675
Twist-IDT-0720ME25_S13_L001,SMAD3,45.40283550185484
Twist-IDT-0720ME25_S13_L001,DSG2,43.23586695449208
Twist-IDT-0720ME25_S13_L001,SMAD4,44.70963599195487
Twist-IDT-0720ME25_S13_L001,KCNQ1,45.53742298203964
Twist-IDT-0720ME25_S13_L001,ACTC1,45.25530830621721
Twist-IDT-0720ME25_S13_L001,SCN5A,44.450179430927385
Twist-IDT-0720ME25_S13_L001,MYL2,46.17829726891159
Twist-IDT-0720ME25_S13_L001,DSC2,44.03495024103135
Twist-IDT-0720ME25_S13_L001,PKP2,44.79376618741264
Twist-IDT-0720ME25_S13_L001,PTEN,45.37655179321729
Twist-IDT-0720ME25_S13_L001,MUTYH,44.66137154735529
Twist-IDT-0720ME25_S13_L001,RYR2,44.81171701998144
Twist-IDT-0720ME25_S13_L001,ATP7B,44.74185413088492
Twist-IDT-0720ME25_S13_L001,ACTA2,44.945745717334724
Twist-IDT-0720ME25_S13_L001,FBN1,44.32894397202673
Twist-IDT-0720ME25_S13_L001,NF2,45.60394512478624
Twist-IDT-0720ME25_S13_L001,TNNT2,46.99621304625854
Twist-IDT-0720ME25_S13_L001,MSH6,42.52854882605198
Twist-IDT-0720ME25_S13_L001,TMEM43,46.451775366740826
Twist-IDT-0720ME25_S13_L001,MYL3,45.243439612505334
Twist-IDT-0720ME25_S13_L001,RB1,44.417279658475316
Twist-IDT-0720ME25_S13_L001,TSC1,44.80239918388981
Twist-IDT-0720ME25_S13_L001,MYH11,45.35502312448668
Twist-IDT-0720ME25_S13_L001,BRCA1,43.40126247644087
Twist-IDT-0720ME25_S13_L001,TNNI3,44.80403181492855
Twist-IDT-0720ME25_S13_L001,PRKAG2,45.06236261306898
Twist-IDT-0720ME25_S13_L001,CACNA1S,45.71331634687
Twist-IDT-0720ME25_S13_L001,PMS2,43.4125762696974
Twist-IDT-0720ME25_S13_L001,TGFBR1,44.41293330285923
Twist-IDT-0720ME25_S13_L001,BMPR1A,44.21845827041616
Twist-IDT-0720ME25_S13_L001,TP53,45.008570294521135
Twist-IDT-0720ME25_S13_L001,WT1,45.13360378935988
Twist-IDT-0720ME25_S13_L001,LMNA,44.783156809088695
Twist-IDT-0720ME25_S13_L001,MYBPC3,45.03985711489291
Twist-IDT-0720ME25_S13_L001,BRCA2,42.678109593161146
Twist-IDT-0720ME25_S13_L001,COL3A1,45.666250089044176
Twist-IDT-0720ME25_S13_L001,TGFBR2,44.718675436192115
Twist-IDT-0720ME25_S13_L001,RET,45.013536099522064
Twist-IDT-0720ME25_S13_L001,SDHB,46.2445085848144
Twist-IDT-0720ME25_S13_L001,MYH7,45.231383246528
Twist-IDT-0720ME25_S13_L001,DSP,43.47926239338228
Twist-IDT-0720ME25_S13_L001,LDLR,44.62872582211966
Twist-IDT-0720ME25_S13_L001,TSC2,45.23001298980119
Twist-IDT-0720ME25_S13_L001,VHL,43.94679385895168
Twist-IDT-0720ME25_S13_L001,OTC,43.94876104623379
Twist-IDT-0720ME25_S13_L001,APOB,42.979763289994146
Twist-IDT-0720ME25_S13_L001,MEN1,44.15486261549699
Twist-IDT-0720ME25_S13_L001,SDHAF2,43.83918285475116
Twist-IDT-0720ME25_S13_L001,RYR1,44.93569063144133
Twist-IDT-0720ME25_S13_L001,TPM1,44.52247455012864
Twist-IDT-0720ME25_S13_L001,SDHC,45.24153997078369
Twist-IDT-0720ME25_S13_L001,STK11,44.93446558170716
Twist-IDT-0720ME25_S13_L001,MLH1,45.78180777642336
Twist-IDT-0720ME25_S13_L001,MSH2,43.249006218152786
Twist-IDT-0720ME25_S13_L001,APC,42.816493839386766
Twist-IDT-0720ME25_S13_L001,KCNH2,43.651109605335364
Twist-IDT-0720ME25_S13_L001,PCSK9,45.816269392380136
Twist-IDT-0720ME25_S13_L001,GLA,43.77627307679572
Twist-Roche-0720ME25_S5_L001,SMAD3,44.77206723915658
Twist-Roche-0720ME25_S5_L001,DSG2,43.99052627863954
Twist-Roche-0720ME25_S5_L001,SMAD4,46.38443530785028
Twist-Roche-0720ME25_S5_L001,KCNQ1,47.80221592228168
Twist-Roche-0720ME25_S5_L001,ACTC1,45.49533775182798
Twist-Roche-0720ME25_S5_L001,SCN5A,45.28822701484426
Twist-Roche-0720ME25_S5_L001,MYL2,46.55504329795875
Twist-Roche-0720ME25_S5_L001,DSC2,45.148422423670105
Twist-Roche-0720ME25_S5_L001,PKP2,44.8889436861229
Twist-Roche-0720ME25_S5_L001,PTEN,44.211067279102345
Twist-Roche-0720ME25_S5_L001,MUTYH,45.65341887562217
Twist-Roche-0720ME25_S5_L001,RYR2,45.709003082445456
Twist-Roche-0720ME25_S5_L001,ATP7B,45.40936953350685
Twist-Roche-0720ME25_S5_L001,ACTA2,46.49972275336272
Twist-Roche-0720ME25_S5_L001,FBN1,46.233892471379505
Twist-Roche-0720ME25_S5_L001,NF2,46.857583581500954
Twist-Roche-0720ME25_S5_L001,TNNT2,48.61971131993277
Twist-Roche-0720ME25_S5_L001,MSH6,43.21678936265025
Twist-Roche-0720ME25_S5_L001,TMEM43,47.3282957643923
Twist-Roche-0720ME25_S5_L001,MYL3,48.50131043499553
Twist-Roche-0720ME25_S5_L001,RB1,45.04934830398917
Twist-Roche-0720ME25_S5_L001,TSC1,45.822801554578895
Twist-Roche-0720ME25_S5_L001,MYH11,45.99311091943486
Twist-Roche-0720ME25_S5_L001,BRCA1,44.445882767012314
Twist-Roche-0720ME25_S5_L001,TNNI3,46.74582666071125
Twist-Roche-0720ME25_S5_L001,PRKAG2,45.95131798624251
Twist-Roche-0720ME25_S5_L001,CACNA1S,46.96491392390779
Twist-Roche-0720ME25_S5_L001,PMS2,45.02862311848134
Twist-Roche-0720ME25_S5_L001,TGFBR1,45.71840139879137
Twist-Roche-0720ME25_S5_L001,BMPR1A,45.400558075206376
Twist-Roche-0720ME25_S5_L001,TP53,46.082414746629226
Twist-Roche-0720ME25_S5_L001,WT1,45.675135390233
Twist-Roche-0720ME25_S5_L001,LMNA,46.02917758191402
Twist-Roche-0720ME25_S5_L001,MYBPC3,45.88334198408022
Twist-Roche-0720ME25_S5_L001,BRCA2,42.820307202731186
Twist-Roche-0720ME25_S5_L001,COL3A1,46.82955580730144
Twist-Roche-0720ME25_S5_L001,TGFBR2,45.107390982075145
Twist-Roche-0720ME25_S5_L001,RET,45.91176335468277
Twist-Roche-0720ME25_S5_L001,SDHB,47.29527873657236
Twist-Roche-0720ME25_S5_L001,MYH7,45.821786447747954
Twist-Roche-0720ME25_S5_L001,DSP,44.431313860025504
Twist-Roche-0720ME25_S5_L001,LDLR,45.55624569560502
Twist-Roche-0720ME25_S5_L001,TSC2,46.1166947903472
Twist-Roche-0720ME25_S5_L001,VHL,45.4768903917599
Twist-Roche-0720ME25_S5_L001,OTC,45.39335487330454
Twist-Roche-0720ME25_S5_L001,APOB,43.51983980242779
Twist-Roche-0720ME25_S5_L001,MEN1,44.3965197548998
Twist-Roche-0720ME25_S5_L001,SDHAF2,44.908870103396275
