sample,gene,quality,technology
NexteraCap-Roche-1501199_S57_L002,KIT,43.278481838346536,Roche
NexteraCap-Roche-1501199_S57_L002,TP53,42.25434006327886,Roche
NexteraCap-Roche-1501199_S57_L002,RET,43.33643766757706,Roche
NexteraCap-Roche-1501199_S57_L002,AKT2,44.62768662072741,Roche
NexteraCap-Roche-1501199_S57_L002,BCL2,46.082034396421186,Roche
NexteraCap-Roche-1501199_S57_L002,AXL,43.44159230515212,Roche
NexteraCap-Roche-1501199_S57_L002,WRN,44.19254348914336,Roche
NexteraCap-Roche-1501199_S57_L002,JUN,45.571271590616135,Roche
NexteraCap-Roche-1501199_S57_L002,PBX1,44.953882523080935,Roche
NexteraCap-Roche-1501199_S57_L002,CBFA2T2,43.89445655341365,Roche
NexteraCap-Roche-1501199_S57_L002,BRCA2,44.75820874451175,Roche
NexteraCap-Roche-1501199_S57_L002,FES,44.9601176973166,Roche
NexteraCap-Roche-1501199_S57_L002,BCR,43.77906424876073,Roche
NexteraCap-Roche-1501199_S57_L002,LMO2,43.647045266161705,Roche
NexteraCap-Roche-1501199_S57_L002,EGFR,43.06315550569506,Roche
NexteraCap-Roche-1501199_S57_L002,SET,44.74218374218374,Roche
NexteraCap-Roche-1501199_S57_L002,DCC,45.9236143839308,Roche
NexteraCap-Roche-1501199_S57_L002,EPS15,46.018035572982505,Roche
NexteraCap-Roche-1501199_S57_L002,VHL,47.20517239237896,Roche
NexteraCap-Roche-1501199_S57_L002,KRAS,45.575636574074075,Roche
NexteraCap-Roche-1501199_S57_L002,MYC,43.27163602400165,Roche
NexteraCap-Roche-1501199_S57_L002,ERBB2,44.999264304615366,Roche
NexteraCap-Roche-1501199_S57_L002,ABL1,42.137386694133795,Roche
NexteraCap-Roche-1501199_S57_L002,FUS,46.20733138116973,Roche
NexteraCap-Roche-1501199_S57_L002,NF1,44.77343806305442,Roche
NexteraCap-Roche-1501199_S57_L002,MAS1,41.7886781676188,Roche
NexteraCap-Roche-1501199_S57_L002,ALK,44.6134921841703,Roche
NexteraCap-Roche-1501199_S57_L002,LYL1,50.36728120560806,Roche
NexteraCap-Roche-1501199_S57_L002,NOTCH1,44.28537268752578,Roche
NexteraCap-Roche-1501199_S57_L002,CDKN2A,47.027811312318356,Roche
