sample,gene,quality,technology
NexteraCap-Roche-1501199_S57_L002,FBN1,45.07816136313296,Roche
NexteraCap-Roche-1501199_S57_L002,NF2,43.04399726526849,Roche
NexteraCap-Roche-1501199_S57_L002,TNNT2,45.955639512506046,Roche
NexteraCap-Roche-1501199_S57_L002,MSH6,43.38677951054636,Roche
NexteraCap-Roche-1501199_S57_L002,TMEM43,44.07583752216961,Roche
NexteraCap-Roche-1501199_S57_L002,MYL3,44.74885859695929,Roche
NexteraCap-Roche-1501199_S57_L002,RB1,44.272877725856695,Roche
NexteraCap-Roche-1501199_S57_L002,TSC1,43.82337912671275,Roche
NexteraCap-Roche-1501199_S57_L002,MYH11,43.55548563219567,Roche
NexteraCap-Roche-1501199_S57_L002,BRCA1,43.7466551335822,Roche
NexteraCap-Roche-1501199_S57_L002,TNNI3,46.06905072711161,Roche
NexteraCap-Roche-1501199_S57_L002,PRKAG2,43.81425188338232,Roche
NexteraCap-Roche-1501199_S57_L002,CACNA1S,43.77033178054289,Roche
NexteraCap-Roche-1501199_S57_L002,PMS2,44.17519483786916,Roche
NexteraCap-Roche-1501199_S57_L002,TGFBR1,45.091995103617116,Roche
NexteraCap-Roche-1501199_S57_L002,BMPR1A,47.131828836258954,Roche
NexteraCap-Roche-1501199_S57_L002,TP53,42.25434006327886,Roche
NexteraCap-Roche-1501199_S57_L002,WT1,47.34817614447365,Roche
NexteraCap-Roche-1501199_S57_L002,LMNA,44.4182074127233,Roche
NexteraCap-Roche-1501199_S57_L002,MYBPC3,43.012553003435784,Roche
NexteraCap-Roche-1501199_S57_L002,BRCA2,44.75820874451175,Roche
NexteraCap-Roche-1501199_S57_L002,COL3A1,45.836366829179084,Roche
NexteraCap-Roche-1501199_S57_L002,TGFBR2,43.3072408706796,Roche
NexteraCap-Roche-1501199_S57_L002,RET,43.33643766757706,Roche
NexteraCap-Roche-1501199_S57_L002,SDHB,44.10702977761025,Roche
NexteraCap-Roche-1501199_S57_L002,MYH7,43.43415091677022,Roche
NexteraCap-Roche-1501199_S57_L002,DSP,43.64184591284846,Roche
NexteraCap-Roche-1501199_S57_L002,LDLR,42.875330297846794,Roche
NexteraCap-Roche-1501199_S57_L002,TSC2,45.0003595729154,Roche
NexteraCap-Roche-1501199_S57_L002,VHL,47.20517239237896,Roche
NexteraCap-Roche-1501199_S57_L002,OTC,42.32837607156878,Roche
NexteraCap-Roche-1501199_S57_L002,APOB,42.20935038662765,Roche
NexteraCap-Roche-1501199_S57_L002,MEN1,44.78778905736229,Roche
NexteraCap-Roche-1501199_S57_L002,SDHAF2,48.3994575045208,Roche
NexteraCap-Roche-1501199_S57_L002,RYR1,43.714312032875156,Roche
NexteraCap-Roche-1501199_S57_L002,TPM1,48.46680393880197,Roche
NexteraCap-Roche-1501199_S57_L002,SDHC,45.101979805836436,Roche
NexteraCap-Roche-1501199_S57_L002,STK11,47.06479549150329,Roche
NexteraCap-Roche-1501199_S57_L002,MLH1,42.76918982405805,Roche
NexteraCap-Roche-1501199_S57_L002,MSH2,42.445018433179726,Roche
NexteraCap-Roche-1501199_S57_L002,APC,41.4573044281199,Roche
NexteraCap-Roche-1501199_S57_L002,KCNH2,45.0969399707203,Roche
NexteraCap-Roche-1501199_S57_L002,PCSK9,45.60248149917961,Roche
NexteraCap-Roche-1501199_S57_L002,GLA,44.47673332620849,Roche
NexteraCap-IDT-1501199_S53_L002,SMAD3,42.13381180456641,IDT
NexteraCap-IDT-1501199_S53_L002,DSG2,41.62967083395465,IDT
NexteraCap-IDT-1501199_S53_L002,SMAD4,42.546066966232175,IDT
NexteraCap-IDT-1501199_S53_L002,KCNQ1,43.631769816497005,IDT
NexteraCap-IDT-1501199_S53_L002,ACTC1,42.40103638773565,IDT
NexteraCap-IDT-1501199_S53_L002,SCN5A,41.33159364985676,IDT
NexteraCap-IDT-1501199_S53_L002,MYL2,44.83652682582562,IDT
NexteraCap-IDT-1501199_S53_L002,DSC2,42.334052870676736,IDT
NexteraCap-IDT-1501199_S53_L002,PKP2,43.05941047097873,IDT
NexteraCap-IDT-1501199_S53_L002,PTEN,44.58879215960029,IDT
NexteraCap-IDT-1501199_S53_L002,MUTYH,41.77380458316099,IDT
NexteraCap-IDT-1501199_S53_L002,RYR2,42.91477148522818,IDT
NexteraCap-IDT-1501199_S53_L002,ATP7B,41.87401434252512,IDT
NexteraCap-IDT-1501199_S53_L002,ACTA2,41.39827649604841,IDT
NexteraCap-IDT-1501199_S53_L002,FBN1,42.27450023341205,IDT
NexteraCap-IDT-1501199_S53_L002,NF2,43.27844236040539,IDT
NexteraCap-IDT-1501199_S53_L002,TNNT2,43.56900376431685,IDT
NexteraCap-IDT-1501199_S53_L002,MSH6,42.15373339129607,IDT
NexteraCap-IDT-1501199_S53_L002,TMEM43,43.15043700919108,IDT
NexteraCap-IDT-1501199_S53_L002,MYL3,42.006307206234105,IDT
NexteraCap-IDT-1501199_S53_L002,RB1,43.76807205647888,IDT
NexteraCap-IDT-1501199_S53_L002,TSC1,42.59712850859842,IDT
NexteraCap-IDT-1501199_S53_L002,MYH11,42.23920726911666,IDT
NexteraCap-IDT-1501199_S53_L002,BRCA1,41.71434598920109,IDT
NexteraCap-IDT-1501199_S53_L002,TNNI3,42.971248608801815,IDT
NexteraCap-IDT-1501199_S53_L002,PRKAG2,44.061562090245225,IDT
NexteraCap-IDT-1501199_S53_L002,CACNA1S,42.561378078159905,IDT
NexteraCap-IDT-1501199_S53_L002,PMS2,42.295479999161465,IDT
NexteraCap-IDT-1501199_S53_L002,TGFBR1,41.909882096530275,IDT
NexteraCap-IDT-1501199_S53_L002,BMPR1A,42.46038617313884,IDT
NexteraCap-IDT-1501199_S53_L002,TP53,42.451703187512955,IDT
NexteraCap-IDT-1501199_S53_L002,WT1,43.03639430308218,IDT
NexteraCap-IDT-1501199_S53_L002,LMNA,42.46197982208547,IDT
NexteraCap-IDT-1501199_S53_L002,MYBPC3,42.067783235690946,IDT
NexteraCap-IDT-1501199_S53_L002,BRCA2,41.891433452608275,IDT
NexteraCap-IDT-1501199_S53_L002,COL3A1,43.12241783394141,IDT
NexteraCap-IDT-1501199_S53_L002,TGFBR2,43.269516540789695,IDT
NexteraCap-IDT-1501199_S53_L002,RET,43.140899624500676,IDT
NexteraCap-IDT-1501199_S53_L002,SDHB,42.95197342944394,IDT
NexteraCap-IDT-1501199_S53_L002,MYH7,41.68107008648602,IDT
NexteraCap-IDT-1501199_S53_L002,DSP,42.04291572712562,IDT
NexteraCap-IDT-1501199_S53_L002,LDLR,42.428623129998314,IDT
NexteraCap-IDT-1501199_S53_L002,TSC2,42.746377071250805,IDT
NexteraCap-IDT-1501199_S53_L002,VHL,47.275600776183566,IDT
NexteraCap-IDT-1501199_S53_L002,OTC,43.04717761884063,IDT
NexteraCap-IDT-1501199_S53_L002,APOB,41.29829721702696,IDT
NexteraCap-IDT-1501199_S53_L002,MEN1,42.980571973623874,IDT
NexteraCap-IDT-1501199_S53_L002,SDHAF2,41.599258146803415,IDT
NexteraCap-IDT-1501199_S53_L002,RYR1,42.736614655268355,IDT
NexteraCap-IDT-1501199_S53_L002,TPM1,45.76862280756709,IDT
