sample-name,LDLR ACTA2 MYH7 ATP7B MEN1 APOB TSC2 TNNT2 ACTC1 SCN5A TGFBR1 BMPR1A KCNQ1 GLA SMAD4 SMAD3 LMNA MUTYH CACNA1S APC SDHB PRKAG2 RET TNNI3 MYH11 BRCA1 MLH1 SDHC TMEM43 RYR1 TPM1 VHL OTC DSP MSH2 RB1 RYR2 SDHAF2 MSH6 FBN1 MYL2 WT1 BRCA2 DSG2 PKP2 PTEN DSC2 TGFBR2 TP53 MYBPC3 KCNH2 COL3A1 PMS2 PCSK9 STK11 NF2 TSC1 MYL3
KAPAEnzyme-110465,42.2297841979 42.7461291748 42.7373760113 42.5140178821 41.9413849905 41.218004907 42.9537459994 44.2486890244 42.360612218 42.3726720634 42.1724252147 42.5940303684 43.3000105394 42.3589518115 43.036778445 43.0256602798 42.4733481147 43.0311776544 43.4049982267 41.8197939894 43.7472254393 43.4926764117 42.2774036396 43.6193082019 42.7790202589 41.6365766801 43.1012759885 42.4827646443 44.0658017434 42.683441315 43.106402128 42.0922811275 43.0738232419 41.7327718436 41.7094929816 42.7989596903 42.8536730697 41.6664378895 41.1085046194 43.0435194377 43.3560491741 42.8271512567 41.1346407476 42.1183115334 42.8373138723 42.6809657639 42.1896235123 42.0860257874 42.9638477245 42.57213981 41.4836602442 43.2665265025 42.1207538834 42.6891375427 41.7783049875 43.2154306331 42.5634446281 42.6036363626
KAPAEnzyme-110465,45.6866708424 47.3259268361 46.620204614 46.3946191491 46.6857248449 44.8893607421 47.2720551539 49.3405973397 46.331994854 46.2185009943 46.475421248 46.1423778958 47.0434262909 46.8239326475 46.1556574173 47.5103793708 45.8589037377 45.8482349202 47.6170213201 44.6067367432 47.0102084943 46.7233302285 46.996945798 47.9104832129 47.0722370778 45.6179730911 47.0205359674 46.1187891717 48.3827955709 46.5393940532 47.1081343665 45.4581957125 46.2010380245 45.3424695387 45.4627423768 46.8176588414 47.0223849079 46.6444747683 44.6302260184 46.7648948862 48.542740732 46.7601877199 44.1807886965 45.9741110766 45.9537522667 47.5777132345 46.3555677291 46.7853468438 47.4883590457 47.0065519842 45.35226657 47.6383657914 45.8886129946 46.6611549503 46.1204066258 47.6308878237 46.0361654209 47.4054259332
KAPAEnzyme-1501199,47.3704178473 48.4116808933 48.1897593341 47.44573016 47.8504030901 45.9316029269 48.4917335229 48.9678064879 47.311932412 47.7254919425 47.2780486891 47.5756542766 47.4365477379 48.272235597 47.9525981329 48.3886227362 47.3594288374 47.6626060119 48.8776137211 45.5340003189 50.1517829958 47.6929079908 48.1283221944 48.4700086688 48.7279394637 46.5802793031 48.5650329394 48.654209017 49.3381799293 48.2715949722 48.1718047791 47.7472210641 48.7180350602 46.6531147778 46.7867867781 47.8636500274 48.1389884415 46.6559421912 45.8463370092 48.2077793573 49.3108274693 48.6333039298 45.029218875 46.8209737558 47.8867085826 47.2517950301 47.618447016 47.8339956496 48.2560862505 48.5290382552 46.4631843938 48.1409770658 47.3486941032 47.8769984601 48.3489661965 49.2570365346 47.6137882074 48.943610312
KAPAEnzyme-1501199,45.1578589948 45.7068728458 45.8471332588 45.8027539357 43.9103218791 44.1715707711 46.2436293132 48.3168608642 45.5613302099 45.5685734369 46.2206623916 46.2267839546 46.0299099367 44.6499699186 45.1413544676 45.0004948612 44.5960447322 45.3652300579 46.3241578791 43.9152042201 45.7858662232 46.2782824942 45.7589625503 47.674715807 46.1725662614 44.6836302465 46.1077965837 45.8392600958 46.9508618795 45.8802489744 46.3740980674 44.8816499277 46.774310541 44.723281917 44.5045110063 45.8236150418 46.2261802575 43.1077964717 43.5150851892 45.8586482732 49.3108273744 45.9523654408 43.4837001884 44.9379452662 45.1080120085 45.4978604197 45.2983305991 46.1009970465 46.6076586668 45.9662384609 45.0228364595 46.77821926 44.8375364511 45.8193593665 45.2145761115 46.7543916953 45.7129492887 45.9004087112
KAPAEnzyme-1501199,45.2530258719 46.4408311742 45.4406339453 45.3757250718 44.0731675732 44.3891502229 46.10444464 46.8556535955 44.9154974433 44.9913166048 45.7358800757 45.897218875 45.8838879809 45.0869769855 45.8411397912 45.6504254176 45.4218495858 45.525080792 46.2459491645 44.2012657833 47.3461528444 46.2727410225 45.1275525621 46.3991800384 45.5506777562 45.0498988929 46.1390254059 45.7017528368 47.0714566455 45.2895490352 46.0370179837 45.2473927878 46.7889561237 44.5228557546 45.1249016534 45.5830041856 45.8775521722 45.3086966771 44.2595489884 46.3392264899 47.5178215282 45.3216824695 44.0006485969 44.7913319293 45.3530872837 45.5607457001 44.9633408349 45.4050047174 45.437399131 45.7323851873 43.859276635 46.5237367053 45.6100998565 45.5286492334 45.5145663987 46.3908329435 45.2222921884 46.0828448278
KAPAEnzyme-GIAB,38.9379395599 39.8766415229 39.116475908 39.0881600414 38.6451362917 38.3397221028 39.3689315125 40.0907409628 39.3889771089 39.3431659064 39.318174444 39.171312682 39.4354670569 39.0224481077 39.3079320077 40.5597785741 39.2270862122 39.0821030344 39.4024380881 38.3697419864 39.7586884315 39.2452080119 39.2298524895 39.5133824112 39.4723952331 38.7005825259 39.4426797509 39.2239456209 39.7490154324 39.2445849749 39.5586493492 38.9889992304 39.5437495114 38.7437697051 39.0267466242 39.355063584 39.3079743327 38.8482141855 38.3462677918 39.6141532726 39.8957518252 39.2331931502 38.2826602577 38.7094078882 39.0109173904 39.4229478344 38.734104117 38.921964968 38.8084333183 39.1146565718 38.763420513 39.3874367432 39.1230213659 39.5176780462 38.9459351988 40.0359531548 39.2689763236 39.849181069
KAPAEnzyme-GIAB,44.7911610657 46.254768619 46.0810616327 45.4974750979 44.4971916719 43.8468398687 46.2073614731 48.0381959124 46.3016713212 45.6584560719 45.8739375412 46.1865146148 46.3040790566 45.7306629185 45.5959120841 45.5647898268 44.447845682 45.519671587 46.5010911123 43.8580465769 46.9305452433 46.644760522 46.1376701885 46.9517661466 46.2305008511 44.6738819324 46.1314493185 47.71934413 47.8293111905 45.8935616923 46.3876471687 44.469828525 46.115757205 44.5669536942 44.4956689295 45.9021155767 45.9182013216 44.6571356537 43.6360863187 45.7764457066 48.0307429672 46.3163189202 43.4054876071 44.8380890322 45.7930135101 45.6338607143 45.1934179296 45.352723644 45.9765522118 46.0731445012 44.8842452236 46.618405587 44.6895119692 46.0982949634 45.3302675929 46.3873941386 45.4826044249 46.921100466
KAPAEnzyme-GIAB,42.1127597699 42.8743698503 42.4719963206 41.925944574 42.2905052962 41.0310279596 42.4958548654 43.708950599 41.6708100927 42.0546192107 42.9368496214 42.2602665347 43.3910632649 42.9310924146 42.3062179217 42.0613958965 41.7952130813 42.0838822045 42.8056585248 40.981449774 44.7375863297 43.0131309992 42.7278483924 42.9105826513 42.6832836362 41.7526163825 42.8541046946 42.8366562306 43.4857281744 42.4872320793 42.5711496783 42.0841814964 42.5229911939 41.3741563718 42.0078622448 42.0492465679 42.6470204767 41.2074285249 40.8718626734 42.8337007175 43.1389403829 42.4691679297 40.6300048743 41.7833715636 41.9121047481 41.5706131677 42.2699344706 41.9088311584 43.2056451083 42.6462548346 41.4179645667 42.8353000391 41.8475142945 42.4171590008 42.2623435597 42.8287428595 42.1705745006 42.7795652459
Nextera-0720ME25,43.4362387585 43.7987516161 43.6734388473 43.9865332453 42.448313856 42.5330599236 44.4752114119 46.7154125665 44.1199459769 43.0386692771 44.2818838556 44.1688094394 45.8169461555 43.6892945447 43.5270813561 43.2499840188 44.9727766838 44.1913187493 44.3773901578 42.604978823 44.1184144983 44.3579452049 43.9274496227 44.1681882984 43.8645879446 43.2270866373 44.8894119207 43.7761296938 45.6000408194 44.060332662 43.5082737587 44.8167726729 45.0901674574 42.8986105522 44.0032760968 43.6571875173 44.4906657736 42.621711359 42.576717465 44.8242666796 46.1998822377 43.9608516244 42.788825766 43.3081386214 44.2547591653 43.9207490905 44.1565401159 43.85000839 43.3745683075 43.7119553883 43.8625018528 45.218578633 43.4782242913 44.6492746381 43.21688999 45.124642296 44.0932669395 44.0198807309
Nextera-0720ME25,43.8186618312 45.0893429406 44.4381334179 44.1894356558 43.232072054 43.4792670345 44.2370975651 45.1721256313 44.8569743905 43.6261903682 45.861077637 45.3021276227 45.7936863987 44.9024402916 45.5271882731 45.0460157105 44.0409595058 43.6153549154 44.8833033705 43.3933553389 45.5101856106 44.5347722661 44.277484128 45.7213414757 44.7312665593 43.9193390943 44.5840542951 44.4588010947 45.5062153236 44.9177900616 44.1446327026 44.2346284662 45.1724508496 43.7770412783 44.6685159586 44.9358639701 44.8261310323 43.9148252451 43.4186184808 45.4909745347 45.2414849188 44.4350298228 43.4644688885 44.4626826337 44.5561153477 45.6126456408 44.4534571901 44.4158217693 44.5306067991 44.6309762839 43.2659480639 44.9316991311 44.4407255762 45.8997072666 43.8095288013 45.292986738 44.6180176253 45.1049084037
Nextera-0720ME25,38.8997703751 39.0410827992 38.9876507063 38.6486630811 38.5106896103 38.3957863281 38.8462055958 40.3038958576 38.9292781196 38.5883008363 38.6213829051 38.5108715813 40.1089049022 38.9954369118 38.5733439973 39.1103309851 38.387527814 38.4164737445 39.2436517494 38.0632114014 39.2717779595 39.4558217537 38.7711627786 39.3085266932 39.2868877662 38.4083644401 38.8679364812 38.9165341032 39.2386396286 38.7867655883 38.9557709209 38.8914269125 38.9766416461 38.4331570681 38.5299321302 38.807125156 39.0851608526 38.8281655514 37.8471860973 39.5455542918 40.2059809296 38.7360868566 37.9752872809 38.4519957883 38.9492751231 38.5332590402 39.0802973697 38.7301492768 38.6805933424 39.0634461578 38.272906602 38.9544945993 38.9469273165 38.3561082125 38.8537248016 39.3637603342 39.2518635728 38.6922973102
